Number	Old.Name	Bulk	Seq.Name	Comments
1	GWR_100_119	1	POP28_04	
2	XXX_100_64	1	POP26_30	
3	GWR_100_276	1	POP26_03	
4	GWR_100_156	1	POP26_79	
5	GWR_100_133	1	POP27_63	
6	GWR_100_53	1	POP31_32	
7	GWR_100_195	1	POP25_33	
8	GWR_100_426	1	POP30_56	
9	IFG_100_462	1	POP30_11	
10	GWR_100_13	1	POP25_36	
11	GWR_100_95	1	POP25_16	
12	GWR_100_179	1	POP270_2	
13	GWR_100_328	1	POP27_09	
14	GWR_100_117	1	POP31_21	
15	GWR_100_157	1	POP25_02	
16	GWR_100_99	1	POP27_45	
17	GWR_100_116	1	POP25_28	
18	GWR_100_159	1	POP27_56	
19	GWR_100_327	1	POP27_57	
20	GWR_100_149	1	POP29_76	
21	GWR_100_170	1	POP28_26	
22	XXX_100_89	1	POP31_69	
23	GWR_100_254	1	POP26_83	
24	XXX_100_232	1	POP30_51	
25	GWR_100_193	1	POP26_66	
26	GWR_100_433	1	POP31_44	
27	GWR_100_332	1	POP28_14	
28	GWR_100_52	1	POP30_43	
29	GWR_100_111	1	POP28_45	
30	GWR_100_255	1	POP28_20	
31	GWR_100_62	1	POP25_14	
32	GWR_100_273	2	POP30_65	
33	GWR_100_315	2	POP30_38	
34	GWR_100_447	2	POP26_25	
35	GWR_100_107	2	POP26_02	
36	GWR_100_212	2	POP29_07	
37	XXX_100_66	2	POP27_81	
38	GWR_100_292	2	POP30_33	"mixed with POP26_33, can be kept"
39	XXX_100_56	2	POP27_11	
40	GWR_100_96	2	POP28_29	
41	XXX_100_71	2	POP25_23	
42	GWR_100_349	2	POP31_19	
43	GWR_100_121	2	POP27_41	
44	GWR_100_132	2	POP27_38	
45	GWR_100_345	2	POP25_42	
46	GWR_100_240	2	POP25_24	
47	GWR_100_467	2	POP28_70	
48	XXX_100_165	2	POP29_63	
49	GWR_100_338	2	POP25_85	
50	GWR_100_350	2	POP26_33	"mixed with POP30_33, can be kept"
51	GWR_100_86	2	POP28_73	
52	GWR_100_473	2	POP27_35	
53	GWR_100_335	2	POP26_07	"mixed with POP30_07, can be kept"
54	GWR_100_385	2	POP27_24	
55	GWR_100_123	2	POP26_80	
56	GWR_100_167	2	POP28_79	
57	XXX_100_158	2	POP29_15	
58	GWR_100_30	2	POP29_56	
59	XXX_100_170	2	POP28_36	
60	GWR_100_414	2	POP30_07	"mixed with pOP26_07, can be kept"
61	GWR_100_372	2	POP29_01	
62	GWR_100_263	2	POP28_24	
