Number	Old.Name	Bulk	Seq.Name1	Comments
1	GWR_100_119	1	POP28_04	
2	XXX_100_64	1	POP26_30	
3	GWR_100_180	1	POP27_37	
4	XXX_100_37	1	POP25_30	
5	XXX_100_128	1	POP27_07	
6	GWR_100_24	1	POP27_89	
7	GWR_100_133	1	POP27_63	
8	GWR_100_46	1	POP31_49	
9	GWR_100_438	1	POP27_74	
10	GWR_100_53	1	POP31_32	
11	XXX_100_11	1	POP27_84	
12	IFG_100_462	1	POP30_11	
13	GWR_100_246	1	POP27_71	
14	XXX_100_33	1	POP27_53	"mixed with POP31_53, can be kept"
15	GWR_100_214	1	POP26_04	
16	XXX_100_31	1	POP25_91	
17	XXX_100_5	1	POP26_29	
18	GWR_100_13	1	POP25_36	
19	GWR_100_1	1	POP29_58	
20	GWR_100_48	1	POP25_32	
21	GWR_100_271	1	POP28_92	
22	GWR_100_413	1	POP25_90	
23	GWR_100_187	1	POP31_04	
24	XXX_100_2	1	POP27_30	
25	GWR_100_65	1	POP28_03	
26	GWR_100_95	1	POP25_16	
27	GWR_100_74	1	POP30_90	
28	XXX_100_101	1	POP26_13	
29	GWR_100_70	1	POP25_41	
30	GWR_100_158	1	POP31_53	"mixed with POP27_53, can be kept"
31	GWR_100_179	1	POP270_2	
32	GWR_100_215	1	POP26_20	
33	GWR_100_102	1	POP30_08	
34	GWR_100_431	2	POP28_22	
35	GWR_100_122	2	POP30_21	
36	GWR_100_227	2	POP25_80	
37	XXX_100_167	2	POP28_64	
38	GWR_100_147	2	POP28_80	
39	GWR_100_360	2	POP26_37	
40	XXX_100_51	2	POP26_23	
41	XXX_100_54	2	POP31_68	
42	GWR_100_200	2	POP25_73	
43	XXX_100_163	2	POP28_44	
44	GWR_100_212	2	POP29_07	
45	XXX_100_233	2	POP28_50	
46	GWR_100_110	2	POP26_81	
47	GWR_100_364	2	POP31_60	
48	XXX_100_118	2	POP25_54	
49	GWR_100_89	2	POP28_23	
50	GWR_100_415	2	POP26_63	
51	GWR_100_19	2	POP25_09	
52	XXX_100_175	2	POP29_89	
53	GWR_100_442	2	POP31_17	
54	GWR_100_400	2	POP28_59	
55	GWR_100_11	2	POP29_35	
56	XXX_100_29	2	POP30_64	
57	GWR_100_129	2	POP28_28	
58	XXX_100_57	2	POP28_88	
59	GWR_100_252	2	POP28_81	
60	GWR_100_134	2	POP25_74	
61	GWR_100_162	2	POP25_40	
62	XXX_100_105	2	POP27_88	
63	XXX_100_93	2	POP30_92	
64	GWR_100_58	2	POP26_74	
65	XXX_100_133	2	POP28_83	
66	XXX_100_130	2	POP28_27	
